"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\Landingpage.tsx", "TypeScript JSX", 11, 0, 1, 3, 15
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\board\ChessBoard.tsx", "TypeScript JSX", 177, 0, 29, 37, 243
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\board\DroppableSquare.tsx", "TypeScript JSX", 25, 0, 0, 6, 31
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\board\PromotionSelector.tsx", "TypeScript JSX", 20, 0, 0, 4, 24
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\board\Square.ts", "TypeScript", 0, 10, 0, 1, 11
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\pieces\DraggablePiece.tsx", "TypeScript JSX", 22, 0, 0, 5, 27
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\pieces\GetPieceType.ts", "TypeScript", 0, 31, 0, 1, 32
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\pieces\Piece.ts", "TypeScript", 0, 6, 0, 2, 8
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\pieces\PieceType.ts", "TypeScript", 0, 14, 0, 0, 14
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\rules\BishopMovement.ts", "TypeScript", 0, 17, 0, 4, 21
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\rules\CastleAllowedCheck.ts", "TypeScript", 0, 52, 0, 8, 60
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\rules\CastlingRightsUpdater.ts", "TypeScript", 0, 37, 1, 1, 39
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\rules\InCheck.ts", "TypeScript", 0, 196, 22, 49, 267
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\rules\InCheckAtPosition.ts", "TypeScript", 0, 201, 23, 57, 281
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\rules\IsTurn.ts", "TypeScript", 0, 12, 0, 1, 13
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\rules\KingMovement.ts", "TypeScript", 0, 34, 1, 6, 41
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\rules\KnightMovement.ts", "TypeScript", 0, 10, 0, 2, 12
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\rules\Movement.ts", "TypeScript", 0, 89, 0, 5, 94
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\rules\PawnMovement.ts", "TypeScript", 0, 70, 0, 13, 83
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\rules\PerformCastling.ts", "TypeScript", 0, 66, 4, 4, 74
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\rules\QueenMovement.ts", "TypeScript", 0, 37, 0, 4, 41
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\rules\RookMovement.ts", "TypeScript", 0, 27, 0, 3, 30
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\utils\IsLowerCase.ts", "TypeScript", 0, 6, 0, 0, 6
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\utils\Position.ts", "TypeScript", 0, 4, 0, 0, 4
"c:\Users\Milan\source\gitHubRepos\WebChess\WebChess\src\components\utils\ReturnImageUrl.ts", "TypeScript", 0, 30, 0, 0, 30
"Total", "-", 255, 949, 81, 216, 1501